key,speciesKey,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,month,day,stateProvince,locality,basisOfRecord,occurrenceStatus,institutionCode,collectionCode,datasetName,datasetKey,license,recordedBy,individualCount,lifeStage,foto_url,n_fotos,clase_modelo
6147551763,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-39.301514,-71.855871,28121.0,2026-01-28T07:03,2026.0,1.0,28.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Isidora Schorr,,,https://inaturalist-open-data.s3.amazonaws.com/photos/613942513/original.jpg,1,jabali
6179455818,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-41.19848,-72.506777,1040.0,2026-01-20T21:33,2026.0,1.0,20.0,Los Lagos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Francisco Castro Carmona,,,https://inaturalist-open-data.s3.amazonaws.com/photos/622549333/original.jpg,1,jabali
6147352562,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-39.362848,-71.937431,28121.0,2026-02-01T06:33,2026.0,2.0,1.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Isidora Schorr,,,https://inaturalist-open-data.s3.amazonaws.com/photos/613944281/original.jpg,2,jabali
6147614387,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-39.285196,-71.980511,28121.0,2026-02-01T06:32,2026.0,2.0,1.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Isidora Schorr,,,https://inaturalist-open-data.s3.amazonaws.com/photos/613944011/original.jpg,1,jabali
6171122343,7705930,Sus scrofa,"Sus scrofa domesticus Linnaeus, 1758",-42.623505,-73.299989,977.0,2026-02-05T15:21,2026.0,2.0,5.0,Los Lagos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,pablo_zamora,,,https://inaturalist-open-data.s3.amazonaws.com/photos/619747064/original.jpg,1,jabali
6178350221,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-39.357588,-71.950457,28121.0,2026-02-02T03:12,2026.0,2.0,2.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Isidora Schorr,,,https://inaturalist-open-data.s3.amazonaws.com/photos/613948213/original.jpg,2,jabali
6185126407,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-39.537753,-71.982978,4.0,2026-03-23T11:57:51,2026.0,3.0,23.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Eric Rojas-Abarca,,,https://inaturalist-open-data.s3.amazonaws.com/photos/628162327/original.jpg,2,jabali
5087290415,7705930,Sus scrofa,"Sus scrofa domesticus Linnaeus, 1758",-33.028403,-71.444392,,2025-02-27T15:34:01,2025.0,2.0,27.0,Valparaíso,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/publicdomain/zero/1.0/legalcode,matias saa,,,,0,jabali
5133611873,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-40.029953,-71.952783,189.0,2025-04-10,2025.0,4.0,10.0,Los Ríos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Cupcake1613,,,https://inaturalist-open-data.s3.amazonaws.com/photos/486470488/original.jpeg,3,jabali
5932453673,7705930,Sus scrofa,"Sus scrofa Linnaeus, 1758",-45.164642,-72.141697,122.0,2025-11-21T15:17,2025.0,11.0,21.0,Aisén del General Carlos Ibáñez del Campo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,wiktorbort,,,https://inaturalist-open-data.s3.amazonaws.com/photos/598853878/original.jpg,1,jabali
