key,speciesKey,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,month,day,stateProvince,locality,basisOfRecord,occurrenceStatus,institutionCode,collectionCode,datasetName,datasetKey,license,recordedBy,individualCount,lifeStage,foto_url,n_fotos,clase_modelo
6159535191,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-43.128967,-74.009789,9.0,2026-02-05T18:31:16,2026.0,2.0,5.0,Los Lagos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,morganharr,,,https://inaturalist-open-data.s3.amazonaws.com/photos/616078650/original.jpg,4,rata_gris
6178943805,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-34.035556,-71.098098,35.0,2026-02-17T13:09:36,2026.0,2.0,17.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Camila Consuelo González Bravo,,Adult,https://inaturalist-open-data.s3.amazonaws.com/photos/617604944/original.jpg,4,rata_gris
6413581646,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.640623,-78.832642,511.0,2026-05-17T12:10:54,2026.0,5.0,17.0,Valparaíso,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,navareaxv,,Adult,https://inaturalist-open-data.s3.amazonaws.com/photos/668535379/original.jpg,1,rata_gris
6431035926,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-29.985014,-71.365754,29433.0,2026-07-02T16:59,2026.0,7.0,2.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,By.Ulises,,,https://inaturalist-open-data.s3.amazonaws.com/photos/690596691/original.jpg,1,rata_gris
5063570475,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.030612,-71.54069,95.0,2025-01-29T12:54:54,2025.0,1.0,29.0,Valparaíso,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,milenamm,,,https://inaturalist-open-data.s3.amazonaws.com/photos/466777121/original.jpg,1,rata_gris
5140612289,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.413892,-70.620709,,2025-04-26T11:22,2025.0,4.0,26.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ariel Cabrera Foix,,,https://inaturalist-open-data.s3.amazonaws.com/photos/493899942/original.jpg,1,rata_gris
5153800202,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.816377,-72.771501,,2025-04-30T10:56:26,2025.0,4.0,30.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Phyllis Tebbs Carrasco,,Juvenile,https://inaturalist-open-data.s3.amazonaws.com/photos/497448348/original.jpeg,3,rata_gris
5230548190,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.540892,-70.812885,,2025-07-20T12:26,2025.0,7.0,20.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Axel Basaure Cornejo,,,https://inaturalist-open-data.s3.amazonaws.com/photos/539948731/original.jpg,1,rata_gris
5909278852,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.766827,-73.160116,100.0,2025-08-03T11:55,2025.0,8.0,3.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Felipe I. Torres,,,https://inaturalist-open-data.s3.amazonaws.com/photos/547938329/original.jpg,7,rata_gris
5903857332,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.74437,-72.475693,49.0,2025-11-19T19:40,2025.0,11.0,19.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bastianuz,,,https://inaturalist-open-data.s3.amazonaws.com/photos/592980333/original.jpg,1,rata_gris
5920057264,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-39.807297,-73.206047,6.0,2025-11-29T15:50:31,2025.0,11.0,29.0,Los Ríos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Pablo Silva,,,https://inaturalist-open-data.s3.amazonaws.com/photos/596256061/original.jpg,2,rata_gris
6179415881,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.834709,-73.037296,25.0,2025-11-27T19:51:33,2025.0,11.0,27.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,gabriela_ferrada,,,https://inaturalist-open-data.s3.amazonaws.com/photos/624398185/original.jpg,1,rata_gris
4900940264,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-37.39092,-72.293799,871.0,2024-02-17T23:32,2024.0,2.0,17.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Juan Pablo Herrera,,,https://inaturalist-open-data.s3.amazonaws.com/photos/384247443/original.jpeg,1,rata_gris
4954373442,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-32.229939,-71.507257,66.0,2024-02-27T11:44:45,2024.0,2.0,27.0,Valparaíso,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Gabriela Cartes,,,https://inaturalist-open-data.s3.amazonaws.com/photos/354071064/original.jpg,3,rata_gris
4901437544,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.821717,-73.041686,10.0,2024-03-01T10:29:54,2024.0,3.0,1.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Javiera Salazar Figueroa,,,https://inaturalist-open-data.s3.amazonaws.com/photos/354545609/original.jpg,1,rata_gris
4901751346,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.73359,-70.316106,10.0,2024-03-30T20:22:43,2024.0,3.0,30.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,cami_quiroz_lambert,,,https://inaturalist-open-data.s3.amazonaws.com/photos/361758186/original.jpg,1,rata_gris
4901061227,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.828455,-73.036986,18.0,2024-04-01T09:49:32,2024.0,4.0,1.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Javiera Salazar Figueroa,,,https://inaturalist-open-data.s3.amazonaws.com/photos/362442527/original.jpg,1,rata_gris
5938559503,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-31.781788,-70.96077,35.0,2024-04-18T12:14:58,2024.0,4.0,18.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Víctor Sarabia Sánchez,,,https://inaturalist-open-data.s3.amazonaws.com/photos/367878883/original.jpg,1,rata_gris
4875402626,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-36.775456,-73.074856,2.0,2024-05-30T14:54,2024.0,5.0,30.0,Bío-Bío,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,ignacio_diaz05,,,https://inaturalist-open-data.s3.amazonaws.com/photos/390150897/original.jpeg,2,rata_gris
4901409254,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.472454,-70.704446,4.0,2024-06-19T13:33:41,2024.0,6.0,19.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NatureVort,,,https://inaturalist-open-data.s3.amazonaws.com/photos/396590974/original.jpeg,2,rata_gris
6391489730,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-22.430815,-69.487877,,2024-07-17,2024.0,7.0,17.0,Antofagasta,No registrada,MACHINE_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CMP,1.0,,,0,rata_gris
6391492348,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-22.430815,-69.487877,,2024-07-17,2024.0,7.0,17.0,Antofagasta,No registrada,MACHINE_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CMP,1.0,,,0,rata_gris
6391496746,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-22.430815,-69.487877,,2024-07-17,2024.0,7.0,17.0,Antofagasta,No registrada,MACHINE_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CMP,1.0,,,0,rata_gris
6391498666,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-32.793909,-70.904696,,2024-11-14,2024.0,11.0,14.0,Valparaiso,No registrada,HUMAN_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CV-FD,1.0,,,0,rata_gris
6391504538,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-32.795329,-70.903221,,2024-11-14,2024.0,11.0,14.0,Valparaiso,No registrada,HUMAN_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,CV-FD,1.0,,,0,rata_gris
6391508068,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-22.433676,-69.482824,,2024-11-15,2024.0,11.0,15.0,Antofagasta,No registrada,HUMAN_OBSERVATION,PRESENT,CNX,,KIM753_A2_BD_Fauna_Integrada,404482d2-574b-402e-b120-0445a4241c45,http://creativecommons.org/licenses/by-nc/4.0/legalcode,VV-AV,1.0,,,0,rata_gris
5840169106,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-42.7452,-73.970958,488.0,2023-01-20T16:56,2023.0,1.0,20.0,Los Lagos,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Manuel Alejandro Henríquez,,,https://inaturalist-open-data.s3.amazonaws.com/photos/574835939/original.jpg,3,rata_gris
4867776940,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-29.571791,-71.294571,1654.0,2023-04-04T08:54,2023.0,4.0,4.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,jachatata,,,https://inaturalist-open-data.s3.amazonaws.com/photos/349055215/original.jpg,1,rata_gris
4420925520,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.529563,-70.79322,1162.0,2023-05-15T17:10,2023.0,5.0,15.0,Región Metropolitana de Santiago,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Hugo Muñoz-Quintana,,,https://inaturalist-open-data.s3.amazonaws.com/photos/280095609/original.jpeg,2,rata_gris
4867835443,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-29.571791,-71.294571,1654.0,2023-05-05T08:48,2023.0,5.0,5.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,jachatata,,,https://inaturalist-open-data.s3.amazonaws.com/photos/349175491/original.jpg,3,rata_gris
4868017419,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-29.571791,-71.294571,1654.0,2023-06-13T08:03,2023.0,6.0,13.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,jachatata,,,https://inaturalist-open-data.s3.amazonaws.com/photos/349750216/original.jpg,1,rata_gris
4153656309,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-22.459736,-68.862959,8.0,2023-07-05T17:50:30,2023.0,7.0,5.0,Antofagasta,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Ariel Cabrera Foix,,,https://inaturalist-open-data.s3.amazonaws.com/photos/297209741/original.jpeg,2,rata_gris
4176920616,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-31.811585,-70.567493,1372.0,2023-07-09T09:39:55,2023.0,7.0,9.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,ignaciolagos,,,https://inaturalist-open-data.s3.amazonaws.com/photos/298431375/original.jpg,3,rata_gris
6130967826,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-31.882387,-70.820305,16.0,2023-07-24T17:55:30,2023.0,7.0,24.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by/4.0/legalcode,Víctor Sarabia Sánchez,,,https://inaturalist-open-data.s3.amazonaws.com/photos/303731855/original.jpg,1,rata_gris
4420759947,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-29.965206,-71.348244,,2023-09-27T11:02:12,2023.0,9.0,27.0,Coquimbo,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,benjabarrera,,,https://inaturalist-open-data.s3.amazonaws.com/photos/323399603/original.jpeg,4,rata_gris
4901046595,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-39.233575,-72.196595,49.0,2023-09-29T17:12:09,2023.0,9.0,29.0,Araucanía,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,solbercovich,,,https://inaturalist-open-data.s3.amazonaws.com/photos/334588290/original.jpg,4,rata_gris
4901905493,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-35.644719,-71.581353,5583.0,2023-09-13T09:39,2023.0,9.0,13.0,Maule,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Benjamin Gallardo,,,https://inaturalist-open-data.s3.amazonaws.com/photos/338950627/original.jpg,1,rata_gris
4430654458,2439261,Rattus norvegicus,"Rattus norvegicus (Berkenhout, 1769)",-33.044675,-71.50139,105.0,2023-10-08T16:44:05,2023.0,10.0,8.0,Valparaíso,,HUMAN_OBSERVATION,PRESENT,iNaturalist,Observations,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Macarena,,,https://inaturalist-open-data.s3.amazonaws.com/photos/328320989/original.jpeg,1,rata_gris
