binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Bombus terrestris,Insecta,Apidae,True,terrestrial,1020,26,abejorro europeo
Harmonia axyridis,Insecta,Coccinellidae,False,terrestrial,783,22,chinita asiática
Columba livia,Aves,Columbidae,False,terrestrial,750,26,paloma doméstica
Molothrus bonariensis,Aves,Icteridae,True,terrestrial,674,21,mirlo / tordo renegrido
Eschscholzia californica,Magnoliopsida,Papaveraceae,True,terrestrial,599,20,amapola de California
Myiopsitta monachus,Aves,Psittacidae,True,terrestrial,579,11,cotorra argentina
Passer domesticus,Aves,Passeridae,False,terrestrial,496,25,gorrión
Callipepla californica,Aves,Odontophoridae,False,terrestrial,354,17,codorniz de California
Acacia dealbata,Magnoliopsida,Fabaceae,True,terrestrial,332,19,aromo australiano
Cornu aspersum,Gastropoda,Helicidae,True,terrestrial,309,19,caracol de jardín
Nicotiana glauca,Magnoliopsida,Solanaceae,True,terrestrial,296,10,palqui / tabaco cimarrón
Verbascum virgatum,Magnoliopsida,Scrophulariaceae,False,terrestrial,211,18,verbasco
Cichorium intybus,Magnoliopsida,Asteraceae,True,terrestrial,201,19,chicoria
Acacia melanoxylon,Magnoliopsida,Fabaceae,False,terrestrial,200,16,aromo negro
Conium maculatum,Magnoliopsida,Apiaceae,False,terrestrial,200,20,cicuta
Trifolium repens,Magnoliopsida,Fabaceae,False,terrestrial,197,22,trébol blanco
Oryctolagus cuniculus,Mammalia,Leporidae,True,terrestrial,183,12,conejo europeo
Bubulcus ibis,Aves,Ardeidae,True,terrestrial|freshwater,182,22,garza boyera
Galega officinalis,Magnoliopsida,Fabaceae,False,terrestrial,174,15,galega
Linepithema humile,Insecta,Formicidae,False,terrestrial,165,9,hormiga argentina
Tropaeolum majus,Magnoliopsida,Tropaeolaceae,False,terrestrial,164,11,
Vinca major,Magnoliopsida,Apocynaceae,False,terrestrial,164,16,
Papaver somniferum,Magnoliopsida,Papaveraceae,False,terrestrial,163,14,
Silybum marianum,Magnoliopsida,Asteraceae,False,terrestrial,160,17,cardo mariano
Ricinus communis,Magnoliopsida,Euphorbiaceae,True,terrestrial,150,11,
Vespula germanica,Insecta,Vespidae,True,terrestrial,148,17,avispa chaqueta amarilla
Canis lupus,Mammalia,Canidae,False,terrestrial,143,20,
Datura stramonium,Magnoliopsida,Solanaceae,False,terrestrial,141,14,
Teline monspessulana,Magnoliopsida,Fabaceae,True,terrestrial,139,8,
Rubus ulmifolius,Magnoliopsida,Rosaceae,True,terrestrial,138,15,zarzamora
Oxalis pes-caprae,Liliopsida,Oxalidaceae,True,terrestrial,137,8,
Foeniculum vulgare,Magnoliopsida,Apiaceae,False,terrestrial,130,17,hinojo
Convolvulus arvensis,Magnoliopsida,Convolvulaceae,False,terrestrial,127,17,
Felis catus,Mammalia,Felidae,True,terrestrial,124,15,
Taraxacum officinale,Magnoliopsida,Asteraceae,True,terrestrial,121,18,diente de león
Urtica urens,Magnoliopsida,Urticaceae,False,terrestrial,120,10,
Bellis perennis,Magnoliopsida,Asteraceae,True,terrestrial,119,8,
