zona,speciesKey,registros,binomio,kingdom,class,family,invasora,habitat,nombre_comun
Gran Santiago,1340503,386,Bombus terrestris,Animalia,Insecta,Apidae,True,terrestrial,abejorro europeo
Gran Santiago,3117424,92,Bellis perennis,Plantae,Magnoliopsida,Asteraceae,True,terrestrial,
Gran Santiago,3190653,86,Ailanthus altissima,Plantae,Magnoliopsida,Simaroubaceae,False,terrestrial,árbol del cielo
Gran Santiago,2979474,69,Acacia dealbata,Plantae,Magnoliopsida,Fabaceae,True,terrestrial,aromo australiano
Gran Santiago,5371743,31,Anthriscus caucalis,Plantae,Magnoliopsida,Apiaceae,True,terrestrial,
Gran Santiago,2979000,24,Acacia melanoxylon,Plantae,Magnoliopsida,Fabaceae,False,terrestrial,aromo negro
Gran Santiago,3974754,22,Acacia karroo,Plantae,Magnoliopsida,Fabaceae,False,terrestrial,
Gran Santiago,8184903,19,Anagallis arvensis,Plantae,Magnoliopsida,Primulaceae,True,terrestrial,
Gran Santiago,5384396,13,Amaranthus deflexus,Plantae,Magnoliopsida,Amaranthaceae,False,terrestrial,
Gran Santiago,2703041,10,Arundo donax,Plantae,Liliopsida,Poaceae,True,terrestrial,
Gran Santiago,5325855,10,Amaryllis belladonna,Plantae,Liliopsida,Amaryllidaceae,False,terrestrial,
Gran Santiago,2441022,9,Bos taurus,Animalia,Mammalia,Bovidae,True,terrestrial,
Gran Santiago,5391802,6,Bidens aurea,Plantae,Magnoliopsida,Asteraceae,False,terrestrial,
Gran Santiago,8971274,6,Beta vulgaris,Plantae,Magnoliopsida,Chenopodiaceae,False,terrestrial,
Gran Santiago,8035698,5,Anthemis cotula,Plantae,Magnoliopsida,Asteraceae,True,terrestrial,
Gran Santiago,3120060,4,Achillea millefolium,Plantae,Magnoliopsida,Asteraceae,True,terrestrial,
Gran Santiago,2926110,3,Borago officinalis,Plantae,Magnoliopsida,Boraginaceae,True,terrestrial,
Gran Santiago,3121319,3,Artemisia absinthium,Plantae,Magnoliopsida,Asteraceae,False,terrestrial,
Gran Santiago,3631293,3,Apium nodiflorum,Plantae,Magnoliopsida,Apiaceae,True,terrestrial,
Gran Santiago,2705300,2,Avena barbata,Plantae,Liliopsida,Poaceae,False,terrestrial,teatina
Gran Santiago,3152493,2,Anoda cristata,Plantae,Magnoliopsida,Malvaceae,True,terrestrial,
Gran Santiago,3152633,2,Abutilon grandifolium,Plantae,Magnoliopsida,Malvaceae,False,terrestrial,
Gran Santiago,5384390,2,Amaranthus cruentus,Plantae,Magnoliopsida,Amaranthaceae,False,terrestrial,
Gran Santiago,2705290,1,Avena sativa,Plantae,Liliopsida,Poaceae,False,terrestrial,
Gran Santiago,2778437,1,Asphodelus fistulosus,Plantae,Liliopsida,Xanthorrhoeaceae,True,terrestrial,
Gran Santiago,2865100,1,Alisma plantago-aquatica,Plantae,Liliopsida,Alismataceae,False,freshwater,
Gran Santiago,3083771,1,Atriplex suberecta,Plantae,Magnoliopsida,Chenopodiaceae,False,terrestrial,
Gran Santiago,7747216,1,Aira caryophyllea,Plantae,Liliopsida,Poaceae,False,terrestrial,
Gran Santiago,2495414,342,Columba livia,Animalia,Aves,Columbidae,False,terrestrial,paloma doméstica
