id,taxonID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,taxonRank,taxonomicStatus,isInvasive,habitat,countryCode,occurrenceStatus,establishmentMeans,binomio,invasora,speciesKey,matchType,confidence,nombre_gbif
1910,1910,Abutilon grandifolium (Willd.) Sweet,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Abutilon grandifolium,False,3152633,EXACT,100,Abutilon grandifolium (Willd.) Sweet
1911,1911,Acacia aroma Gillies ex Hook. & Arn.,Vachellia aroma (Gillies ex Hook. & Arn.) Seigler & Ebinger,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,SYNONYM,invasive,terrestrial,CL,present,alien,Acacia aroma,True,7266132,EXACT,99,Acacia aroma Gillies ex Hook. & Arn.
1912,1912,Acacia dealbata Link,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Acacia dealbata,True,2979474,EXACT,99,Acacia dealbata Link
1913,1913,Acacia horrida (L.) Willd.,Vachellia horrida (L.f.) Kyal. & Boatwr.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,SYNONYM,,terrestrial,CL,present,alien,Acacia horrida,False,10709698,EXACT,99,Acacia horrida Span.
1914,1914,Acacia karroo Hayne,Vachellia karroo (Hayne) Banfi & Galasso,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,SYNONYM,,terrestrial,CL,present,alien,Acacia karroo,False,3974754,EXACT,100,Acacia karroo Hayne
1915,1915,Acacia macracantha Humb. & Bonpl. ex Willd.,Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,SYNONYM,,terrestrial,CL,present,alien,Acacia macracantha,False,3795445,EXACT,99,Acacia macracantha Humb. & Bonpl. ex Willd.
1916,1916,Acacia melanoxylon R.Br.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Acacia melanoxylon,False,2979000,EXACT,100,Acacia melanoxylon R.Br.
1917,1917,Acacia paradoxa DC.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Acacia paradoxa,False,2981159,EXACT,99,Acacia paradoxa DC.
1918,1918,Acacia visco Lorentz ex Griseb.,Senegalia visco (Lorentz ex Griseb.) Seigler & Ebinger,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,SYNONYM,,terrestrial,CL,present,alien,Acacia visco,False,9657641,EXACT,99,Acacia visco Lorentz ex Griseb.
1919,1919,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,SYNONYM,invasive,terrestrial,CL,present,alien,Achillea millefolium,True,3120060,EXACT,99,Achillea millefolium L.
1920,1920,Achillea ptarmica L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,DOUBTFUL,invasive,terrestrial,CL,present,alien,Achillea ptarmica,True,3120333,EXACT,99,Achillea ptarmica L.
1921,1921,"Acipenser baerii Brandt, 1869",,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,species,ACCEPTED,invasive,freshwater|brackish|marine,CL,present,alien,Acipenser baerii,True,4287131,EXACT,100,"Acipenser baerii Brandt, 1869"
1922,1922,"Acipenser transmontanus Richardson, 1836",,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,species,ACCEPTED,invasive,freshwater|brackish|marine,CL,present,alien,Acipenser transmontanus,True,2402122,EXACT,100,"Acipenser transmontanus Richardson, 1836"
1923,1923,Acmella glaberrima (Hassl.) R.K.Jansen,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,DOUBTFUL,,terrestrial,CL,present,alien,Acmella glaberrima,False,5386736,EXACT,100,Acmella glaberrima (Hassl.) R.K.Jansen
1924,1924,"Adelges piceae (Ratzeburg, 1844)",,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Adelges piceae,True,2049681,EXACT,100,"Adelges piceae (Ratzeburg, 1844)"
1925,1925,Adiantum capillus-veneris L.,,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Adiantum capillus-veneris,True,2651816,EXACT,100,Adiantum capillus-veneris L.
1926,1926,Agropyron cristatum (L.) Gaertn.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Agropyron cristatum,False,2705196,EXACT,99,Agropyron cristatum (L.) Gaertn.
1927,1927,Agrostemma githago L.,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Agrostemma githago,True,3085368,EXACT,100,Agrostemma githago L.
1928,1928,Agrostis capillaris L.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Agrostis capillaris,True,2706490,EXACT,99,Agrostis capillaris L.
1929,1929,Agrostis castellana Boiss. & Reut.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Agrostis castellana,True,2706501,EXACT,99,Agrostis castellana Boiss. & Reut.
1930,1930,Agrostis gigantea Roth,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Agrostis gigantea,True,2706541,EXACT,100,Agrostis gigantea Roth
1931,1931,Agrostis scabra Willd.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Agrostis scabra,False,2706444,EXACT,99,Agrostis scabra Willd.
1932,1932,Agrostis stolonifera var. palustris (Huds.) Farw.,Agrostis stolonifera L.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,variety,SYNONYM,invasive,terrestrial,CL,present,alien,Agrostis stolonifera,True,2706435,EXACT,99,Agrostis stolonifera L.
1934,1934,Agrostis vinealis Schreb.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Agrostis vinealis,False,2706458,EXACT,99,Agrostis vinealis Schreb.
1935,1935,Ailanthus altissima (Miller) Swingle,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Ailanthus altissima,False,3190653,EXACT,100,Ailanthus altissima (Mill.) Swingle
1936,1936,Aira caryophyllea L.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Aira caryophyllea,False,7747216,EXACT,99,Aira caryophyllea L.
1937,1937,Aira elegantissima Schur,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Aira elegantissima,False,7948459,EXACT,100,Aira elegantissima Schur
1938,1938,Aira praecox L.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Aira praecox,False,5289582,EXACT,100,Aira praecox L.
1939,1939,"Alexandrium tamarense (Lebour, 1925) Balech, 1995",,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,species,ACCEPTED,invasive,marine,CL,present,alien,Alexandrium tamarense,True,7632200,EXACT,100,Alexandrium tamarense (Lebour) Balech
1940,1940,Alisma lanceolatum With.,,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,species,ACCEPTED,,freshwater,CL,present,alien,Alisma lanceolatum,False,2865125,EXACT,99,Alisma lanceolatum With.
1941,1941,Alisma plantago-aquatica L.,,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,species,ACCEPTED,,freshwater,CL,present,alien,Alisma plantago-aquatica,False,2865100,EXACT,100,Alisma plantago-aquatica L.
1942,1942,Allium vineale var. compactum (Thuill.) Lej. & Courtois,Allium vineale L.,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,variety,HETEROTYPIC_SYNONYM,invasive,terrestrial,CL,present,alien,Allium vineale,True,7792960,EXACT,99,Allium vineale L.
1944,1944,Alnus glutinosa (L.) Gaertn.,,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Alnus glutinosa,False,2876213,EXACT,99,Alnus glutinosa (L.) Gaertn.
1945,1945,Alopecurus aequalis Sobol.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,invasive,terrestrial,CL,present,alien,Alopecurus aequalis,True,5290083,EXACT,99,Alopecurus aequalis Sobol.
1946,1946,Alopecurus geniculatus L.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Alopecurus geniculatus,False,5290090,EXACT,99,Alopecurus geniculatus L.
1947,1947,Alopecurus myosuroides Huds.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACCEPTED,,terrestrial,CL,present,alien,Alopecurus myosuroides,False,5290097,EXACT,100,Alopecurus myosuroides Huds.
