id,nombre_comun,nombre_cientifico,tipo,riesgo,autoridad,descripcion,imagen_url,portador_enfermedades
1,Castor americano,Castor canadensis,Animal,Alto,CONAF,"Roedor introducido en Tierra del Fuego. Construye diques que inundan y matan el bosque nativo de lenga.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/francesco-ungaro-cHVKmOwd0A8-unsplash.jpg?auto=format,compress",No
2,Vison americano,Neovison vison,Animal,Alto,SAG,"Mustelido carnivoro escapado de criaderos. Depreda aves acuaticas nativas y aves de corral.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/1200px-Kunawodna3.webp?auto=format,compress",Si
3,Jabali,Sus scrofa,Animal,Alto,SAG,"Suido silvestre que remueve el suelo del bosque nativo y transmite enfermedades al ganado y a las personas.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/ed-van-duijn-414NZVxzc20-unsplash.jpg?auto=format,compress",Si
4,Conejo europeo,Oryctolagus cuniculus,Animal,Medio,SAG,"Herbivoro de alta reproduccion. Impide la regeneracion de plantas nativas y erosiona el suelo.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/Oryctolagus_cuniculus_Tasmania_2.jpg?auto=format,compress",No
5,Rana africana,Xenopus laevis,Animal,Alto,SAG,"Anfibio acuatico que depreda larvas de anfibios nativos y disemina hongos patogenos.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/Xenopus_laevis_1.jpg?auto=format,compress",Si
6,Trucha arcoiris,Oncorhynchus mykiss,Animal,Medio,SERNAPESCA,"Pez introducido para pesca deportiva. Compite y depreda peces nativos de rios y lagos.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/trucha.jpeg?auto=format,compress",No
7,Avispa chaqueta amarilla,Vespula germanica,Insecto,Alto,SAG,"Avispa social agresiva. Afecta fruticultura, apicultura e insectos nativos.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/Vespula_germanica_Horizontalview_Richard_Bartz.jpg?auto=format,compress",No
8,Avispa taladradora del pino,Sirex noctilio,Insecto,Alto,SAG,"Plaga forestal que perfora y seca plantaciones de pino.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/avispa.jpeg?auto=format,compress",No
9,Hormiga argentina,Linepithema humile,Insecto,Medio,SAG,"Forma supercolonias que desplazan a las hormigas e invertebrados nativos.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images.jpeg?auto=format,compress",No
10,Zarzamora,Rubus ulmifolius,Planta,Alto,CONAF,"Arbusto espinoso que forma matorrales impenetrables e impide la regeneracion del bosque.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images%20(1).jpeg?auto=format,compress",No
11,Espinillo,Ulex europaeus,Planta,Alto,CONAF,"Arbusto muy inflamable. Aumenta la carga de combustible y el riesgo de incendios.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images%20(2).jpeg?auto=format,compress",No
12,Aromo australiano,Acacia dealbata,Planta,Medio,CONAF,"Arbol de rapido crecimiento que altera el suelo y desplaza especies nativas en quebradas.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/Acacia_dealbata_leaves.JPG?auto=format,compress",No
13,Retamilla,Teline monspessulana,Planta,Alto,CONAF,"Arbusto invasor de la zona centro-sur. Coloniza areas quemadas y bordes de camino.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images%20(3).jpeg?auto=format,compress",No
14,Jacinto de agua,Eichhornia crassipes,Planta,Alto,MMA,"Planta flotante que cubre cuerpos de agua, baja el oxigeno y mata la fauna acuatica.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/Eichhornia_crassipes_002.jpeg?auto=format,compress",No
15,Alga didymo,Didymosphenia geminata,Planta,Alto,SERNAPESCA,"Microalga que forma mantos en el lecho de los rios. Se traslada en botas y equipos de pesca.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/didymo_001.jpg?auto=format,compress",No
16,Liebre europea,Lepus europaeus,Animal,Medio,SAG,"Mamifero herbivoro de orejas largas introducido desde Europa. Compite por alimento con la fauna nativa y dana cultivos.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images%20(4).jpeg?auto=format,compress",No
17,Rata gris,Rattus norvegicus,Animal,Alto,SAG,"Roedor invasor urbano y rural que depreda nidos de aves nativas y transmite enfermedades graves como hantavirus y leptospirosis.","https://6a6a7e929a494b66550aae9a.imgix.net/sandbox/images%20(5).jpeg?auto=format,compress",Si
