zona,speciesKey,registros
Gran Santiago,1340503,386
Gran Santiago,3117424,92
Gran Santiago,3190653,86
Gran Santiago,2979474,69
Gran Santiago,5371743,31
Gran Santiago,2979000,24
Gran Santiago,3974754,22
Gran Santiago,8184903,19
Gran Santiago,5384396,13
Gran Santiago,2703041,10
Gran Santiago,5325855,10
Gran Santiago,2441022,9
Gran Santiago,5391802,6
Gran Santiago,8971274,6
Gran Santiago,8035698,5
Gran Santiago,3120060,4
Gran Santiago,2926110,3
Gran Santiago,3121319,3
Gran Santiago,3631293,3
Gran Santiago,2705300,2
Gran Santiago,3152493,2
Gran Santiago,3152633,2
Gran Santiago,5384390,2
Gran Santiago,2705290,1
Gran Santiago,2778437,1
Gran Santiago,2865100,1
Gran Santiago,3083771,1
Gran Santiago,7747216,1
Gran Santiago,2495414,342
Gran Santiago,5228080,214
Gran Santiago,5858758,77
Gran Santiago,3034807,74
Gran Santiago,5392252,57
Gran Santiago,2928390,51
Gran Santiago,5375388,51
Gran Santiago,3112364,47
Gran Santiago,3128888,34
Gran Santiago,9751099,33
Gran Santiago,5219173,32
Gran Santiago,3114667,29
Gran Santiago,3128091,23
Gran Santiago,2480830,22
Gran Santiago,3112801,20
Gran Santiago,3083838,19
Gran Santiago,3103791,19
Gran Santiago,4064467,17
Gran Santiago,8200663,16
Gran Santiago,2370771,14
Gran Santiago,8370958,14
Gran Santiago,8542672,13
Gran Santiago,8149099,12
Gran Santiago,6109637,11
Gran Santiago,1626096,10
Gran Santiago,5391480,9
Gran Santiago,8185959,8
Gran Santiago,3083932,7
Gran Santiago,2441056,5
Gran Santiago,2928441,5
Gran Santiago,3128483,5
Gran Santiago,3112110,4
Gran Santiago,2703723,3
Gran Santiago,7903057,3
Gran Santiago,2747939,2
Gran Santiago,2891930,2
Gran Santiago,3083862,2
Gran Santiago,4286942,2
Gran Santiago,5362055,2
Gran Santiago,7627205,2
Gran Santiago,1652950,1
Gran Santiago,2350394,1
Gran Santiago,2703746,1
Gran Santiago,2714156,1
Gran Santiago,3089561,1
Gran Santiago,3138230,1
Gran Santiago,7647071,1
Gran Santiago,2888380,366
Gran Santiago,4989904,358
Gran Santiago,2928751,87
Gran Santiago,3066386,55
Gran Santiago,5531376,55
Gran Santiago,9485490,54
Gran Santiago,2975667,48
Gran Santiago,2435035,37
Gran Santiago,3050595,23
Gran Santiago,9419993,23
Gran Santiago,3066367,21
Gran Santiago,5334218,21
Gran Santiago,3034922,18
Gran Santiago,9297163,17
Gran Santiago,2765942,16
Gran Santiago,2913548,16
Gran Santiago,4286975,14
Gran Santiago,3176787,12
Gran Santiago,2440886,8
Gran Santiago,2715482,7
Gran Santiago,2350570,4
Gran Santiago,5289972,4
Gran Santiago,5334215,4
Gran Santiago,5365717,4
Gran Santiago,11869920,3
Gran Santiago,2890541,3
Gran Santiago,3034742,3
Gran Santiago,3066965,3
Gran Santiago,3147168,3
Gran Santiago,2888816,2
Gran Santiago,2925892,2
Gran Santiago,3119175,2
Gran Santiago,3132570,2
Gran Santiago,3172358,2
Gran Santiago,5375920,2
Gran Santiago,7894250,2
Gran Santiago,2440891,1
Gran Santiago,2714818,1
Gran Santiago,5414995,1
Gran Santiago,5554961,1
Gran Santiago,1316908,94
Gran Santiago,2927069,34
Gran Santiago,2926679,21
Gran Santiago,7886346,19
Gran Santiago,8338793,19
Gran Santiago,3140490,18
Gran Santiago,5289762,18
Gran Santiago,2965201,17
Gran Santiago,2971016,17
Gran Santiago,5373358,17
Gran Santiago,9151957,17
Gran Santiago,3086240,15
Gran Santiago,3152378,12
Gran Santiago,5341501,9
Gran Santiago,2965531,8
Gran Santiago,2971095,8
Gran Santiago,2928576,7
Gran Santiago,3140346,7
Gran Santiago,3152374,7
Gran Santiago,2927189,6
Gran Santiago,5357013,6
Gran Santiago,3152373,5
Gran Santiago,3935079,4
Gran Santiago,2080592,3
Gran Santiago,2873861,3
Gran Santiago,2873896,3
Gran Santiago,3093702,3
Gran Santiago,3170819,3
Gran Santiago,3084837,2
Gran Santiago,7952072,2
Gran Santiago,8707933,2
Gran Santiago,11055820,1
Gran Santiago,2434333,1
Gran Santiago,2706241,1
Gran Santiago,2927208,1
Gran Santiago,2965527,1
Gran Santiago,3093911,1
Gran Santiago,3152367,1
Gran Santiago,3935047,1
Gran Santiago,5289906,1
Gran Santiago,5290177,1
Gran Santiago,5376925,1
Gran Santiago,5384741,1
Gran Santiago,6413649,1
Gran Santiago,8848598,1
Gran Santiago,2479407,509
Gran Santiago,2484396,412
Gran Santiago,2928783,146
Gran Santiago,5231190,118
Gran Santiago,2888439,103
Gran Santiago,2436940,84
Gran Santiago,2477581,28
Gran Santiago,3189767,28
Gran Santiago,2891661,27
Gran Santiago,8208358,19
Gran Santiago,8427624,19
Gran Santiago,1114246,16
Gran Santiago,7821030,16
Gran Santiago,2891664,13
Gran Santiago,3188875,13
Gran Santiago,2492081,11
Gran Santiago,5341112,10
Gran Santiago,1114140,9
Gran Santiago,2882437,9
Gran Santiago,5341784,9
Gran Santiago,3141855,8
Gran Santiago,5361801,8
Gran Santiago,2704179,6
Gran Santiago,5290192,6
Gran Santiago,2888443,3
Gran Santiago,2928774,2
Gran Santiago,7429082,2
Gran Santiago,2704194,1
Gran Santiago,2704265,1
Gran Santiago,3085381,1
Gran Santiago,3188894,1
Gran Santiago,5285727,1
Gran Santiago,5341183,1
Gran Santiago,7733140,1
Gran Santiago,9752149,1
Gran Santiago,5380041,65
Gran Santiago,3145214,61
Gran Santiago,3084719,44
Gran Santiago,2996929,34
Gran Santiago,5352251,24
Gran Santiago,3046851,19
Gran Santiago,5373368,19
Gran Santiago,2984366,10
Gran Santiago,3108983,10
Gran Santiago,3033318,9
Gran Santiago,5372639,8
Gran Santiago,3046812,7
Gran Santiago,7678610,7
Gran Santiago,3040227,6
Gran Santiago,3040983,6
Gran Santiago,5339050,5
Gran Santiago,8174785,5
Gran Santiago,2439261,4
Gran Santiago,2439270,4
Gran Santiago,7538163,4
Gran Santiago,2931104,3
Gran Santiago,3083957,3
Gran Santiago,3105782,3
Gran Santiago,5289919,3
Gran Santiago,5355395,3
Gran Santiago,2889011,2
Gran Santiago,3131229,2
Gran Santiago,4933568,2
Gran Santiago,6409706,2
Gran Santiago,7486599,2
