zona,region,lat,lon,radio_km,registros_totales
Gran Santiago,Metropolitana,-33.45,-70.66,30,48832
Gran Valparaiso,Valparaiso,-33.04,-71.55,18,20519
Gran Concepcion,Biobio,-36.827,-73.05,20,30798
Gran La Serena,Coquimbo,-29.93,-71.29,15,19609
Antofagasta,Antofagasta,-23.65,-70.4,12,2326
Temuco,Araucania,-38.739,-72.598,12,4368
Iquique,Tarapaca,-20.214,-70.152,12,892
Rancagua,O'Higgins,-34.17,-70.744,12,1252
Talca,Maule,-35.426,-71.655,12,1639
Arica,Arica y Parinacota,-18.478,-70.321,12,2794
Chillan,Nuble,-36.606,-72.103,12,1523
Puerto Montt,Los Lagos,-41.471,-72.936,15,3408
Calama,Antofagasta,-22.454,-68.93,10,321
Osorno,Los Lagos,-40.573,-73.135,12,2791
Valdivia,Los Rios,-39.814,-73.245,12,8698
Copiapo,Atacama,-27.366,-70.332,12,425
Los Angeles,Biobio,-37.469,-72.353,12,465
Curico,Maule,-34.983,-71.239,10,935
Punta Arenas,Magallanes,-53.163,-70.917,12,4249
Coyhaique,Aysen,-45.572,-72.068,10,1060
Ovalle,Coquimbo,-30.601,-71.199,10,456
San Antonio,Valparaiso,-33.593,-71.621,12,8407
Linares,Maule,-35.846,-71.593,10,215
Melipilla,Metropolitana,-33.688,-71.216,10,822
Los Andes,Valparaiso,-32.834,-70.598,10,620
Angol,Araucania,-37.795,-72.716,10,678
Castro,Los Lagos,-42.482,-73.763,10,2130
Villarrica,Araucania,-39.281,-72.227,10,1643
Puerto Varas,Los Lagos,-41.319,-72.985,10,2623
Quillota,Valparaiso,-32.881,-71.247,10,881
