clase_modelo,nombre_comun,gbif_id,species,lat,lon,anio,region,comuna,zona_urbana,entorno,fuente,license,foto_url,recordedBy
jabali,Jabali,4597260793,Sus scrofa,-39.352446,-71.836708,2024.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/353828920/original.jpeg,Isidora Schorr
jabali,Jabali,3705492678,Sus scrofa,-39.32601,-71.986809,2022.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/180803139/original.jpeg,Isidora Schorr
jabali,Jabali,6147551763,Sus scrofa,-39.301514,-71.855871,2026.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/613942513/original.jpg,Isidora Schorr
jabali,Jabali,6147352562,Sus scrofa,-39.362848,-71.937431,2026.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/613944281/original.jpg,Isidora Schorr
jabali,Jabali,6147614387,Sus scrofa,-39.285196,-71.980511,2026.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/613944011/original.jpg,Isidora Schorr
jabali,Jabali,6178350221,Sus scrofa,-39.357588,-71.950457,2026.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/613948213/original.jpg,Isidora Schorr
jabali,Jabali,5935295466,Sus scrofa,-34.820766,-70.89856,2025.0,O'Higgins,Chimbarongo,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/588983893/original.jpg,Samuel Gonzalez Ariztia
jabali,Jabali,6131558770,Sus scrofa,-39.396064,-71.9028,2025.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607548145/original.jpg,Isidora Schorr
jabali,Jabali,4925835821,Sus scrofa,-39.323077,-71.876767,2024.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/419803645/original.jpeg,Isidora Schorr
jabali,Jabali,4926101439,Sus scrofa,-39.387221,-71.883106,2024.0,Araucania,Pucón,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/419806327/original.jpeg,Isidora Schorr
jabali,Jabali,4524917973,Sus scrofa,-43.885333,-73.859855,2022.0,Aysen,Guaitecas,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/237851711/original.jpg,Arturo Velasco
jabali,Jabali,6179455818,Sus scrofa,-41.19848,-72.506777,2026.0,Los Lagos,Cochamó,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/622549333/original.jpg,Francisco Castro Carmona
liebre,Liebre europea,6171239201,Lepus europaeus,-50.957142,-72.910835,2026.0,Magallanes,Torres del Paine,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/618859208/original.jpg,Maura
liebre,Liebre europea,6185260384,Lepus europaeus,-50.975681,-72.879854,2026.0,Magallanes,Torres del Paine,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/627628481/original.jpg,Charlie O'Brien
liebre,Liebre europea,6273244926,Lepus europaeus,-51.567828,-72.633208,2026.0,Magallanes,Natales,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/617585456/original.jpg,Charlie O'Brien
liebre,Liebre europea,4006598198,Lepus europaeus,-50.942326,-73.406788,2019.0,Magallanes,Torres del Paine,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/248432433/original.jpg,Fernando Pérez Peralta
liebre,Liebre europea,4936607741,Lepus europaeus,-51.2325,-72.979167,2018.0,Magallanes,Torres del Paine,,Rural,Ciencia ciudadana (iNaturalist),http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/18238398/original.jpeg,patrickc
