region,reg_jabali,reg_liebre,reg_rata_gris,total,lat_mediana
Arica y Parinacota,0,5,7,12,-18.532
Antofagasta,0,1,5,6,-22.432
Atacama,1,1659,0,1660,-26.193
Coquimbo,1,410,19,430,-30.709
Valparaiso,2,53,16,71,-33.36
Metropolitana,3,1863,53,1919,-33.833
O'Higgins,1,5855,6,5862,-34.365
Maule,1,1676,10,1687,-35.487
Nuble,0,2,22,24,-36.539
Biobio,1,552,46,599,-37.098
Araucania,14,7978,17,8009,-38.412
Los Rios,60,365,4,429,-39.933
Los Lagos,2827,485,10,3322,-41.057
Aysen,243,17945,15,18203,-46.083
Magallanes,2,6929,1,6932,-53.169
