zona,region,lat,lon,radio_km,reg_jabali,reg_liebre,reg_rata_gris,total
Punta Arenas,Magallanes,-53.163,-70.917,12,0,1561,1,1562
Gran Concepcion,Biobio,-36.827,-73.05,20,0,39,20,59
Gran Santiago,Metropolitana,-33.45,-70.66,30,2,6,28,36
Valdivia,Los Rios,-39.814,-73.245,12,0,4,3,7
Gran La Serena,Coquimbo,-29.93,-71.29,15,1,3,2,6
Angol,Araucania,-37.795,-72.716,10,0,2,4,6
Gran Valparaiso,Valparaiso,-33.04,-71.55,18,1,1,4,6
Temuco,Araucania,-38.739,-72.598,12,0,0,4,4
Chillan,Nuble,-36.606,-72.103,12,0,0,4,4
Melipilla,Metropolitana,-33.688,-71.216,10,0,0,4,4
Castro,Los Lagos,-42.482,-73.763,10,0,0,3,3
San Antonio,Valparaiso,-33.593,-71.621,12,0,2,0,2
Coyhaique,Aysen,-45.572,-72.068,10,1,1,0,2
Los Angeles,Biobio,-37.469,-72.353,12,0,1,1,2
Puerto Montt,Los Lagos,-41.471,-72.936,15,0,2,0,2
Osorno,Los Lagos,-40.573,-73.135,12,0,0,1,1
Calama,Antofagasta,-22.454,-68.93,10,0,0,1,1
Arica,Arica y Parinacota,-18.478,-70.321,12,0,0,1,1
Talca,Maule,-35.426,-71.655,12,1,0,0,1
Villarrica,Araucania,-39.281,-72.227,10,0,0,1,1
Ovalle,Coquimbo,-30.601,-71.199,10,0,0,1,1
Puerto Varas,Los Lagos,-41.319,-72.985,10,0,0,1,1
Los Andes,Valparaiso,-32.834,-70.598,10,0,0,0,0
Copiapo,Atacama,-27.366,-70.332,12,0,0,0,0
Linares,Maule,-35.846,-71.593,10,0,0,0,0
Curico,Maule,-34.983,-71.239,10,0,0,0,0
Rancagua,O'Higgins,-34.17,-70.744,12,0,0,0,0
Iquique,Tarapaca,-20.214,-70.152,12,0,0,0,0
Antofagasta,Antofagasta,-23.65,-70.4,12,0,0,0,0
Quillota,Valparaiso,-32.881,-71.247,10,0,0,0,0
