anio,reg_jabali,reg_liebre,reg_rata_gris,total
1991.0,0,2,0,2
1998.0,0,0,16,16
1999.0,0,1,0,1
2000.0,0,1,1,2
2001.0,0,0,25,25
2002.0,0,0,38,38
2003.0,0,2,27,29
2004.0,0,0,12,12
2005.0,0,0,2,2
2006.0,0,1,7,8
2007.0,0,2,1,3
2008.0,0,4,1,5
2009.0,0,1,8,9
2010.0,1,2,1,4
2011.0,0,3,0,3
2012.0,2,5,3,10
2013.0,1,8,2,11
2014.0,0,2,0,2
2015.0,0,6,0,6
2016.0,1,7,0,8
2017.0,0,3469,0,3469
2018.0,1,3860,0,3861
2019.0,1,5798,1,5800
2020.0,157,8530,2,8689
2021.0,158,14663,2,14823
2022.0,2808,9053,3,11864
2023.0,2,190,14,206
2024.0,8,55,14,77
2025.0,5,39,8,52
2026.0,7,49,4,60
