zona,region,lat,lon,radio_km
Gran Santiago,Metropolitana,-33.450,-70.660,30
Gran Valparaiso,Valparaiso,-33.040,-71.550,18
Gran Concepcion,Biobio,-36.827,-73.050,20
Gran La Serena,Coquimbo,-29.930,-71.290,15
Antofagasta,Antofagasta,-23.650,-70.400,12
Temuco,Araucania,-38.739,-72.598,12
Iquique,Tarapaca,-20.214,-70.152,12
Rancagua,O'Higgins,-34.170,-70.744,12
Talca,Maule,-35.426,-71.655,12
Arica,Arica y Parinacota,-18.478,-70.321,12
Chillan,Nuble,-36.606,-72.103,12
Puerto Montt,Los Lagos,-41.471,-72.936,15
Calama,Antofagasta,-22.454,-68.930,10
Osorno,Los Lagos,-40.573,-73.135,12
Valdivia,Los Rios,-39.814,-73.245,12
Copiapo,Atacama,-27.366,-70.332,12
Los Angeles,Biobio,-37.469,-72.353,12
Curico,Maule,-34.983,-71.239,10
Punta Arenas,Magallanes,-53.163,-70.917,12
Coyhaique,Aysen,-45.572,-72.068,10
Ovalle,Coquimbo,-30.601,-71.199,10
San Antonio,Valparaiso,-33.593,-71.621,12
Linares,Maule,-35.846,-71.593,10
Melipilla,Metropolitana,-33.688,-71.216,10
Los Andes,Valparaiso,-32.834,-70.598,10
Angol,Araucania,-37.795,-72.716,10
Castro,Los Lagos,-42.482,-73.763,10
Villarrica,Araucania,-39.281,-72.227,10
Puerto Varas,Los Lagos,-41.319,-72.985,10
Quillota,Valparaiso,-32.881,-71.247,10
